null 0:3.3396687981023 5:0.9149465043553076 6:0.6162589264805619 
null 0:2.9898631830290374 5:1.492201013567819 8:1.2244356753401056 
null 0:3.250723485068736 8:1.129723777979508 5:0.990971730951571 
null 0:4.9761912745308665 5:2.0753537794683967 6:1.6666460779337584 
null 0:3.7155334721035334 3:0.8494706899558907 2:0.8467294561224199 
null 0:2.7642977552341423 5:1.5868869352848738 8:1.395943606990477 
null 0:3.200493848270728 5:1.5943913717143527 2:0.8312289130037209 
null 0:4.409443331584037 5:1.7664646141287839 8:1.3739627508080245 
null 0:3.249442479877649 5:1.6238662834861688 8:1.2647296817051639 
null 0:2.0846186111011176 3:1.819413360093324 2:1.6299122925481733 
null 0:2.7637782723617077 5:1.280211982917431 8:1.0730092550414527 
null 0:2.8943426880896603 5:1.1684683871666706 8:0.8488475234875009 
null 0:2.471045069679856 5:0.5820618625612622 9:0.5121070689565899 
null 0:3.7468183636964576 5:2.1835780592198 3:0.8975550916552721 
null 0:4.811050412967682 5:2.276773932503339 8:1.0147646280709093 
null 0:3.0213290811403453 5:1.667781353807399 6:0.3083511357788689 
null 0:2.919801639527925 5:1.546805676492103 8:0.7832478325301233 
null 0:2.4512510439851427 5:1.0600122658258144 2:0.5607435792625748 
null 0:4.0932493747542775 2:2.3748869603831717 8:1.447055264815169 
null 0:2.372087679990986 3:1.0967186142055494 7:0.5352762958473848 
null 0:2.7018730334274688 5:0.8804297906823633 2:0.722533029156072 
null 0:2.815427529032735 5:1.5611261135716574 8:0.9187409521051988 
null 0:4.573814482925114 5:1.8720703919814878 3:1.0491160289781 
null 0:2.863543229021887 5:1.5560896297791411 2:0.8352786129365268 
null 0:3.0497334213329523 5:2.236460568947344 2:1.5897628872166922 
null 0:4.802063158918355 2:2.2704884815059354 6:1.389963809853538 
null 0:3.3769973351780997 6:1.0512210456223208 5:0.8914478289106239 
null 0:0.8944794213254943 2:0.4190450945287404 9:0.41158131663310915 
null 0:3.667553976681362 5:1.8041924051948006 8:0.8571018238874436 
null 0:2.5467231671265935 8:0.9773579660493973 3:0.8310722177978218 
null 0:2.4295278348116383 5:1.2436191000334058 8:0.883931377672597 
null 0:2.138662957523456 2:1.4575181262700234 3:1.34269674217774 
null 0:3.0340538993375907 5:2.487310302796694 2:1.3996565048946645 
null 0:3.5587631300056435 5:1.3618261464306787 3:0.9146042571518735 
null 0:2.441989423742674 5:1.0297008348574883 8:0.9798772264314829 
null 0:5.310701876296306 5:1.3422014851860016 3:1.0889617919756187 
null 0:2.9791865105083892 6:0.9432358006597271 8:0.9236473090205156 
null 0:1.2003598678411767 8:0.6824715301983106 5:0.6358334678311227 
null 0:2.718075491579976 8:1.1953563077699008 2:1.0931195028437506 
null 0:2.20524890402504 5:1.234953161835924 8:0.49443546824591306 
null 0:2.2906879406740295 6:1.480477859798906 5:0.29994049391640665 
null 0:2.1296927106486185 8:1.0776574093460285 5:0.8778932875334607 
